ID_CORRELATIVO,ATTRITION
47411,0.2667
39861,0.2667
38898,0.0
50927,0.0
32969,0.1
89661,0.0667
12197,0.3333
71520,0.0667
59759,0.0667
36743,0.2
10736,0.0
5106,0.0
44506,0.2
47767,0.1333
74686,0.0667
63023,0.0667
13584,0.0667
317,0.0
62570,0.0
68244,0.0667
72881,0.4
18280,0.0
70682,0.0
79902,0.0667
35073,0.0667
84331,0.0
70921,0.0667
82245,0.4667
17714,0.3333
13993,0.0
658,0.5333
33916,0.1333
92737,0.2
22844,0.0667
93339,0.4
29572,0.0
24751,0.6
37862,0.0
26676,0.2667
8675,0.2
64245,0.1333
57248,0.0
3531,0.0
9834,0.0667
74246,0.1333
56683,0.1333
16847,0.3333
96617,0.2
94167,0.2
42800,0.5333
70106,0.1333
42486,0.0
78076,0.0667
85819,0.1333
15786,0.2667
61483,0.0
25630,0.0
22501,0.0667
92447,0.0
13795,0.0
57101,0.0
55077,0.0667
47600,0.2
5924,0.1333
34900,0.0
91990,0.2
50268,0.0667
66401,0.0667
18014,0.0
20006,0.0667
55391,0.4333
40304,0.7333
12832,0.0667
41746,0.0667
69384,0.4
56225,0.1333
46522,0.0667
59922,0.0667
48609,0.1333
77235,0.1333
8082,0.0
65539,0.0667
39769,0.4
96098,0.0667
86925,0.8
53370,0.2
60773,0.0667
47138,0.1333
44098,0.0667
61301,0.0
38956,0.0667
7585,0.0667
14240,0.0
49732,0.1333
48849,0.0667
72202,0.0667
14480,0.1333
33035,0.0667
43985,0.2667
85217,0.0
8121,0.0667
95484,0.0667
57781,0.0667
85281,0.4
71928,0.0667
79044,0.0
54020,0.0
46617,0.0667
3924,0.3333
76379,0.2667
62379,0.0
80390,0.4
95214,0.0
24624,0.0667
89328,0.0
85616,0.2
84393,0.2
63954,0.2
20998,0.0667
42995,0.1333
67212,0.1333
95562,0.0667
1869,0.0
81929,0.275
72552,0.4
34425,0.0
83123,0.0778
90228,0.1333
27741,0.2667
53991,0.0
15167,0.0667
29006,0.1333
86461,0.1578
22615,0.6
90108,0.0667
12561,0.3333
18306,0.1333
78913,0.3333
38785,0.1333
13919,0.1142
59619,0.1333
17801,0.2
11683,0.1333
50393,0.2
1414,0.1333
49705,0.1333
11495,0.0
74515,0.0
87870,0.2
18347,0.0
3854,0.2
19733,0.0039
44194,0.0
80652,0.0667
22356,0.2
56887,0.0
54654,0.0667
81154,0.0667
