ID_CORRELATIVO,ATTRITION
47411,0.004
39861,0.0888
38898,0.0032
50927,0.0027
32969,0.0527
89661,0.0064
12197,0.005
71520,1.0
59759,0.0167
36743,0.0104
10736,1.0
5106,0.0003
44506,0.002
47767,0.0904
74686,0.0007
63023,0.0263
13584,0.0062
317,0.0021
62570,0.0
68244,0.0017
72881,0.0
18280,0.0403
70682,0.0
79902,0.0129
35073,0.0
84331,0.082
70921,0.0007
82245,0.4149
17714,0.0009
13993,0.0
658,0.0339
33916,0.0274
92737,0.0098
22844,0.026
93339,0.1148
29572,0.0
24751,0.0517
37862,0.0
26676,0.0128
8675,0.0
64245,0.1198
57248,0.0677
3531,0.0
9834,0.0001
74246,0.0007
56683,0.0438
16847,0.0007
96617,0.0254
94167,0.0003
42800,0.0878
70106,0.0113
42486,0.0328
78076,0.0
85819,0.0967
15786,0.0075
61483,0.0
25630,0.0
22501,0.0
92447,0.0
13795,0.0
57101,0.0
55077,0.0082
47600,0.0093
5924,0.941
34900,1.0
91990,0.0291
50268,0.0065
66401,0.0233
18014,0.0
20006,0.0
55391,0.0678
40304,0.0108
12832,0.0277
41746,0.0
69384,0.0378
56225,0.1024
46522,0.0
59922,0.0
48609,0.0
77235,0.1601
8082,0.0001
65539,0.0
39769,0.0479
96098,0.0096
86925,0.303
53370,0.0719
60773,0.0232
47138,1.0
44098,0.0001
61301,0.0003
38956,0.0
7585,0.011
14240,0.0017
49732,0.0001
48849,0.0
72202,0.0028
14480,0.0474
33035,0.0013
43985,1.0
85217,0.0
8121,0.0576
95484,0.0
57781,0.0001
85281,0.0485
71928,0.0
79044,0.0037
54020,0.047
46617,0.0273
3924,0.0916
76379,0.0101
62379,0.0
80390,0.0164
95214,0.0229
24624,0.1983
89328,0.0
85616,0.0641
84393,0.097
63954,0.026
20998,1.0
42995,0.0025
67212,0.0
95562,0.0
1869,0.0
81929,0.0065
72552,0.0261
34425,0.0
83123,0.0953
90228,0.0012
27741,0.0
53991,0.0
15167,0.0001
29006,0.0
86461,0.0745
22615,0.0162
90108,0.0038
12561,0.0034
18306,0.3754
78913,0.0478
38785,0.0051
13919,0.0424
59619,0.0503
17801,0.0002
11683,0.0037
50393,0.0709
1414,0.0126
49705,0.0
11495,0.0
74515,0.0
87870,0.0
18347,0.0006
3854,0.0203
19733,0.0093
44194,0.0
80652,0.0025
22356,0.0027
56887,1.0
54654,0.0003
81154,0.0016
60139,0.0293
49481,0.0498
13027,0.0021
6073,0.0
21221,0.0
78849,0.0007
98453,0.0055
43204,0.0168
49495,0.0
50040,0.0044
62238,0.6384
96941,1.0
51613,0.7256
28840,0.0013
88334,0.0937
40679,0.0322
91906,0.002
61997,0.7267
96234,0.0
35191,0.0989
99214,0.0
94474,0.2489
70794,0.0134
96104,0.0032
63209,0.0
78212,0.0
9699,0.0085
89800,0.0003
52248,0.0251
48960,0.0
77980,0.2035
58769,0.3229
74585,0.0007
33294,0.0
93240,0.0301
27238,0.0966
2569,0.4391
51644,0.0021
48318,1.0
9421,0.0414
77916,0.0
11814,0.0409
61073,0.0061
64158,0.0001
2805,1.0
72093,0.0504
48104,0.0083
20668,0.0496
68085,0.0
63923,0.0042
53517,0.0108
3104,0.759
99805,0.0063
39359,0.0742
18783,0.025
15511,0.0795
77153,0.0
45019,0.0842
85462,0.0
96718,0.0
34821,0.0308
22810,0.0074
93544,0.3227
35535,0.0241
65259,0.015
