ID_CORRELATIVO,ATTRITION
47411,0.43489
39861,0.44042
38898,0.0048
50927,0.00455
32969,0.28786
89661,0.32539
12197,0.02837
71520,0.13523
59759,0.54173
36743,0.03361
10736,0.17141
5106,0.43816
44506,0.05667
47767,0.25525
74686,0.05817
63023,0.00089
13584,0.30458
317,0.0054
62570,0.0312
68244,0.007
72881,0.04892
18280,0.00379
70682,0.02651
79902,0.22849
35073,0.08437
84331,0.07903
70921,0.01986
82245,0.29625
17714,0.04281
13993,0.00611
658,0.76426
33916,0.25961
92737,0.38291
22844,0.0872
93339,0.18407
29572,0.01152
24751,0.72918
37862,0.02386
26676,0.28546
8675,0.13888
64245,0.17018
57248,0.47365
3531,0.00033
9834,0.07907
74246,0.14532
56683,0.00016
16847,0.03724
96617,0.21187
94167,0.00752
42800,0.40158
70106,0.36229
42486,0.13883
78076,0.09433
85819,0.51924
15786,0.13185
61483,0.01211
25630,0.04528
22501,0.01632
92447,0.03803
13795,0.02099
57101,0.01253
55077,0.00293
47600,0.10657
5924,0.62929
34900,0.12213
91990,0.13961
50268,0.34395
66401,0.19291
18014,0.0
20006,0.06186
55391,0.23754
40304,0.7768
12832,0.219
41746,0.0379
69384,0.0621
56225,0.39372
46522,0.00971
59922,0.03157
48609,0.0946
77235,0.61177
8082,0.16682
65539,0.05817
39769,0.08683
96098,0.08029
86925,0.73594
53370,0.18006
60773,0.24616
47138,0.20888
44098,0.00234
61301,0.06071
38956,0.01555
7585,0.4213
14240,0.04501
49732,0.01766
48849,0.06849
72202,0.03454
14480,0.05119
33035,0.00421
43985,0.20205
85217,0.01707
8121,0.30985
95484,0.0509
57781,0.02032
85281,0.00573
71928,0.12782
79044,0.00025
54020,0.18528
46617,0.00369
3924,0.48812
76379,0.06331
62379,0.19353
80390,0.10957
95214,0.00163
24624,0.51124
89328,0.0686
85616,0.28053
84393,0.19087
63954,0.26974
20998,0.22777
42995,0.00167
67212,0.18354
95562,0.03354
1869,0.12268
81929,0.07289
72552,0.10087
34425,0.01072
83123,0.21585
90228,0.13084
27741,0.06222
53991,0.01834
15167,0.07866
29006,0.03658
86461,0.07345
22615,0.4882
90108,0.01373
12561,0.31893
18306,0.456
78913,0.46979
38785,0.0914
13919,0.0033
59619,0.0797
17801,0.0827
11683,0.08545
50393,0.54733
1414,0.12558
49705,0.09465
11495,0.04693
74515,0.09282
87870,0.30212
18347,0.04385
3854,0.29028
19733,0.2261
44194,0.07818
80652,0.27152
22356,0.01675
56887,0.05277
54654,0.04984
81154,0.01288
60139,0.03439
49481,0.40811
13027,0.0054
6073,0.03065
21221,0.1225
78849,0.01861
98453,0.01756
43204,0.88257
49495,0.09462
50040,0.20242
62238,0.32014
96941,0.2395
51613,0.28282
28840,0.07537
88334,0.25878
40679,0.69901
91906,0.13887
61997,0.6011
96234,0.0404
35191,0.08426
99214,0.00329
94474,0.0148
70794,0.0747
96104,0.00158
63209,0.02239
78212,0.76419
9699,0.25994
89800,0.02796
52248,0.29273
