ID_CORRELATIVO,ATTRITION
47411,0.42211
39861,0.80503
38898,0.02095
50927,0.04169
32969,0.13658
89661,0.31231
12197,0.12709
71520,0.00276
59759,0.78965
36743,0.19868
10736,0.07377
5106,0.7074
44506,0.28694
47767,0.39459
74686,0.03606
63023,0.00704
13584,0.15606
317,0.10362
62570,0.0932
68244,0.02833
72881,0.10731
18280,0.00217
70682,0.01589
79902,0.08255
35073,0.21221
84331,0.07752
70921,0.02286
82245,0.17223
17714,0.07816
13993,0.02017
658,0.73564
33916,0.33776
92737,0.11829
22844,0.05171
93339,0.28315
29572,0.00358
24751,0.85518
37862,0.03675
26676,0.11811
8675,0.07399
64245,0.2321
57248,0.65388
3531,0.00755
9834,0.00383
74246,0.04586
56683,0.02831
16847,0.33031
96617,0.08744
94167,0.01646
42800,0.71875
70106,0.31475
42486,0.19542
78076,0.1245
85819,0.54616
15786,0.28223
61483,0.01658
25630,0.08392
22501,0.02718
92447,0.44493
13795,0.03268
57101,0.04877
55077,0.21731
47600,0.35908
5924,0.82728
34900,0.44404
91990,0.1652
50268,0.29106
66401,0.16722
18014,0.00701
20006,0.29618
55391,0.43078
40304,0.78801
12832,0.21165
41746,0.03367
69384,0.04429
56225,0.67875
46522,0.01009
59922,0.14871
48609,0.18444
77235,0.58208
8082,0.13132
65539,0.00579
39769,0.1597
96098,0.07827
86925,0.91376
53370,0.29486
60773,0.03682
47138,0.4234
44098,0.00699
61301,0.0537
38956,0.04493
7585,0.70359
14240,0.03297
49732,0.06391
48849,0.02251
72202,0.08128
14480,0.60482
33035,0.0052
43985,0.27363
85217,0.01599
8121,0.21956
95484,0.13555
57781,0.03823
85281,0.04513
71928,0.14009
79044,0.00121
54020,0.4477
46617,0.13349
3924,0.8361
76379,0.04214
62379,0.09806
80390,0.2783
95214,0.02074
24624,0.75162
89328,0.02703
85616,0.3283
84393,0.56737
63954,0.21172
20998,0.12242
42995,0.00633
67212,0.13753
95562,0.09212
1869,0.04676
81929,0.06199
72552,0.45018
34425,0.0054
83123,0.29917
90228,0.34899
27741,0.06843
53991,0.03088
15167,0.10961
29006,0.00377
86461,0.12374
22615,0.67057
90108,0.23799
12561,0.34304
18306,0.47351
78913,0.7539
