ID_CORRELATIVO,ATTRITION
47411,0.44832
39861,0.66496
38898,0.02716
50927,0.01942
32969,0.15094
89661,0.2098
12197,0.10862
71520,0.01422
59759,0.79574
36743,0.23646
10736,0.06624
5106,0.62365
44506,0.3705
47767,0.41817
74686,0.04712
63023,0.01024
13584,0.13053
317,0.06348
62570,0.11007
68244,0.02424
72881,0.09259
18280,0.00668
70682,0.0206
79902,0.08674
35073,0.11957
84331,0.0679
70921,0.01484
82245,0.14892
17714,0.0503
13993,0.02849
658,0.66868
33916,0.17757
92737,0.1592
22844,0.07157
93339,0.26738
29572,0.0041
24751,0.769
37862,0.04619
26676,0.22359
8675,0.0804
64245,0.37247
57248,0.7028
3531,0.00629
9834,0.00469
74246,0.09
56683,0.01592
16847,0.16706
96617,0.08917
94167,0.01938
42800,0.64363
70106,0.21115
42486,0.10472
78076,0.1164
85819,0.58248
15786,0.17399
61483,0.01138
25630,0.07993
22501,0.02817
92447,0.44143
13795,0.02596
57101,0.04268
55077,0.21331
47600,0.23422
5924,0.79887
34900,0.39127
91990,0.11631
50268,0.23308
66401,0.16716
18014,0.00683
20006,0.24408
55391,0.40899
40304,0.76031
12832,0.33324
41746,0.03124
69384,0.03645
56225,0.75366
46522,0.0101
59922,0.11947
48609,0.10383
77235,0.70561
8082,0.16695
65539,0.00646
39769,0.22568
96098,0.08144
86925,0.87066
53370,0.20851
60773,0.03632
47138,0.31641
44098,0.00667
61301,0.02865
38956,0.05059
7585,0.64147
14240,0.02434
49732,0.04206
48849,0.01921
72202,0.07992
14480,0.47735
33035,0.01083
43985,0.26317
85217,0.0102
8121,0.15779
95484,0.13444
57781,0.04456
85281,0.02982
71928,0.0796
79044,0.001
54020,0.36631
46617,0.06576
3924,0.72515
76379,0.03773
62379,0.06031
80390,0.26487
95214,0.0131
24624,0.74253
89328,0.02098
85616,0.21047
84393,0.65422
63954,0.19253
20998,0.17952
42995,0.00607
67212,0.08985
95562,0.08801
1869,0.05536
81929,0.04655
72552,0.34023
34425,0.00531
83123,0.2271
90228,0.32691
27741,0.07315
53991,0.02501
15167,0.11383
29006,0.00454
86461,0.08443
22615,0.61911
90108,0.0659
12561,0.53533
18306,0.70204
78913,0.59716
38785,0.20419
13919,0.0136
59619,0.00369
17801,0.07376
11683,0.06459
50393,0.67093
1414,0.24181
49705,0.19059
11495,0.14626
74515,0.10577
87870,0.19316
18347,0.03031
3854,0.63672
19733,0.18732
44194,0.12501
80652,0.23983
22356,0.1484
56887,0.10098
54654,0.05526
81154,0.08218
60139,0.03552
49481,0.24652
13027,0.06348
6073,0.04621
21221,0.04118
78849,0.0554
98453,0.03164
43204,0.86008
49495,0.14064
50040,0.11235
62238,0.56942
96941,0.13447
51613,0.32655
28840,0.15863
88334,0.16835
40679,0.77906
91906,0.25476
61997,0.57109
96234,0.08273
35191,0.21855
99214,0.00182
94474,0.22497
70794,0.11766
96104,0.01231
63209,0.017
78212,0.83046
9699,0.12775
89800,0.01502
52248,0.26075
48960,0.0505
77980,0.69519
58769,0.2954
74585,0.01963
33294,0.02223
93240,0.30169
27238,0.54763
2569,0.67359
51644,0.27334
48318,0.00908
9421,0.17238
77916,0.1481
