ID_CORRELATIVO,ATTRITION
47411,0.96
39861,0.96
38898,0.56
50927,0.72
32969,0.88
89661,0.52
12197,0.6
71520,0.48
59759,0.72
36743,0.56
10736,0.24
5106,0.56
44506,0.44
47767,0.8
74686,0.4
63023,0.68
13584,0.68
317,0.72
62570,0.56
68244,0.4
72881,0.48
18280,0.76
70682,0.48
79902,0.4
35073,0.8
84331,0.8
70921,0.4
82245,0.72
17714,0.56
13993,0.4
658,0.68
33916,0.72
92737,0.6
22844,0.64
93339,0.84
29572,0.68
24751,0.76
37862,0.44
26676,0.68
8675,0.4
64245,0.88
57248,0.56
3531,0.48
9834,0.48
74246,0.6
56683,0.84
16847,0.6
96617,0.68
94167,0.56
42800,0.96
70106,0.52
42486,0.64
78076,0.52
85819,0.84
15786,0.56
61483,0.2
25630,0.48
22501,0.4
92447,0.64
13795,0.44
57101,0.52
55077,0.68
47600,0.32
5924,0.8
34900,0.64
91990,0.76
50268,0.72
66401,0.36
18014,0.52
20006,0.48
55391,0.84
40304,0.56
12832,0.68
41746,0.48
69384,0.72
56225,0.8
46522,0.32
59922,0.44
48609,0.64
77235,0.84
8082,0.48
65539,0.6
39769,1.0
96098,0.28
86925,0.56
53370,0.68
60773,0.48
47138,0.36
44098,0.44
61301,0.48
38956,0.68
7585,0.56
14240,0.56
49732,0.48
48849,0.52
72202,0.72
14480,0.64
33035,0.44
43985,0.68
85217,0.4
8121,0.8
95484,0.28
57781,0.6
85281,0.84
71928,0.64
79044,0.52
54020,0.76
46617,0.68
3924,0.76
76379,0.48
62379,0.52
80390,0.88
95214,0.68
24624,0.84
89328,0.36
85616,0.92
84393,0.48
63954,0.64
20998,0.56
42995,0.64
67212,0.64
95562,0.52
1869,0.48
81929,0.56
72552,0.72
34425,0.44
83123,0.88
90228,0.48
27741,0.6
53991,0.32
15167,0.32
29006,0.52
86461,0.8
22615,0.72
90108,0.4
12561,0.64
18306,0.32
78913,0.68
38785,0.68
13919,0.88
59619,0.56
17801,0.56
11683,0.28
50393,0.8
1414,0.32
49705,0.52
11495,0.52
74515,0.6
87870,0.44
18347,0.28
3854,0.48
19733,0.4
44194,0.24
80652,0.8
22356,0.52
56887,0.52
54654,0.24
81154,0.4
60139,0.64
49481,0.76
13027,0.72
6073,0.64
21221,0.64
78849,0.44
98453,0.6
43204,0.64
49495,0.48
50040,0.6
62238,0.84
96941,0.52
51613,0.72
28840,0.64
88334,0.8
40679,0.84
91906,0.68
61997,0.84
96234,0.52
35191,0.68
99214,0.6
94474,0.56
70794,0.52
96104,0.56
63209,0.32
78212,0.52
9699,0.4
89800,0.48
52248,0.96
48960,0.52
77980,0.84
58769,0.84
74585,0.4
33294,0.52
93240,0.64
27238,0.64
2569,0.84
51644,0.44
48318,0.4
9421,0.72
77916,0.72
11814,0.76
61073,0.56
64158,0.64
2805,0.32
72093,0.76
48104,0.52
20668,0.8
68085,0.24
63923,0.16
53517,0.6
3104,0.96
99805,0.36
