ID_CORRELATIVO,ATTRITION
47411,0.0
39861,0.04
38898,0.28
50927,0.16
32969,0.08
89661,0.12
12197,0.16
71520,0.48
59759,0.0
36743,0.0
10736,0.24
5106,0.2
44506,0.12
47767,0.0
74686,0.24
63023,0.04
13584,0.2
317,0.0
62570,0.12
68244,0.16
72881,0.28
18280,0.08
70682,0.56
79902,0.0
35073,0.2
84331,0.2
70921,0.28
82245,0.2
17714,0.32
13993,0.2
658,0.16
33916,0.24
92737,0.08
22844,0.2
93339,0.08
29572,0.56
24751,0.0
37862,0.4
26676,0.12
8675,0.28
64245,0.12
57248,0.08
3531,0.2
9834,0.04
74246,0.0
56683,0.04
16847,0.0
96617,0.16
94167,0.04
42800,0.04
70106,0.12
42486,0.08
78076,0.24
85819,0.04
15786,0.08
61483,0.08
25630,0.4
22501,0.2
92447,0.08
13795,0.28
57101,0.28
55077,0.12
47600,0.04
5924,0.16
34900,0.04
91990,0.32
50268,0.2
66401,0.08
18014,0.2
20006,0.12
55391,0.04
40304,0.12
12832,0.08
41746,0.36
69384,0.2
56225,0.0
46522,0.12
59922,0.24
48609,0.44
77235,0.08
8082,0.24
65539,0.08
39769,0.0
96098,0.24
86925,0.28
53370,0.04
60773,0.24
47138,0.16
44098,0.2
61301,0.08
38956,0.24
7585,0.0
14240,0.0
49732,0.2
48849,0.2
72202,0.04
14480,0.04
33035,0.28
43985,0.48
85217,0.12
8121,0.04
95484,0.24
57781,0.04
85281,0.04
71928,0.12
79044,0.04
54020,0.04
46617,0.16
3924,0.04
76379,0.2
62379,0.24
80390,0.16
95214,0.16
24624,0.08
89328,0.36
85616,0.04
84393,0.08
63954,0.16
20998,0.08
42995,0.32
67212,0.28
95562,0.08
1869,0.04
81929,0.0
72552,0.08
34425,0.52
83123,0.16
90228,0.12
27741,0.28
53991,0.44
15167,0.0
29006,0.24
86461,0.12
22615,0.0
90108,0.16
12561,0.08
18306,0.08
78913,0.08
38785,0.04
13919,0.0
59619,0.36
17801,0.2
11683,0.0
50393,0.04
1414,0.08
49705,0.16
11495,0.32
74515,0.28
87870,0.4
18347,0.16
3854,0.0
19733,0.04
44194,0.2
80652,0.16
22356,0.16
56887,0.28
54654,0.12
81154,0.04
60139,0.28
49481,0.2
13027,0.0
6073,0.36
21221,0.2
78849,0.0
98453,0.24
43204,0.0
49495,0.16
50040,0.16
62238,0.12
96941,0.16
51613,0.2
28840,0.0
88334,0.16
40679,0.04
91906,0.08
61997,0.16
96234,0.12
35191,0.0
99214,0.16
94474,0.08
70794,0.08
96104,0.08
63209,0.28
78212,0.16
9699,0.04
89800,0.24
52248,0.0
48960,0.4
77980,0.08
58769,0.08
74585,0.24
33294,0.4
93240,0.12
27238,0.0
2569,0.12
51644,0.04
