ID_CORRELATIVO,ATTRITION
47411,1.0
39861,0.92
38898,0.44
50927,0.44
32969,1.0
89661,0.44
12197,0.52
71520,0.28
59759,0.76
36743,0.6
10736,0.36
5106,0.56
44506,0.4
47767,1.0
74686,0.36
63023,0.92
13584,0.8
317,0.8
62570,0.24
68244,0.28
72881,0.56
18280,0.72
70682,0.2
79902,0.6
35073,0.64
84331,0.56
70921,0.24
82245,0.88
17714,0.28
13993,0.12
658,0.72
33916,0.8
92737,0.68
22844,0.64
93339,0.88
29572,0.28
24751,0.76
37862,0.44
26676,0.84
8675,0.52
64245,1.0
57248,0.84
3531,0.32
9834,0.6
74246,0.68
56683,0.92
16847,0.76
96617,0.72
94167,0.52
42800,1.0
70106,0.44
42486,0.88
78076,0.28
85819,0.92
15786,0.56
61483,0.44
25630,0.56
22501,0.24
92447,0.68
13795,0.32
57101,0.32
55077,0.68
47600,0.52
5924,0.92
34900,0.56
91990,0.8
50268,0.88
66401,0.6
18014,0.48
20006,0.6
55391,0.84
40304,0.64
12832,0.92
41746,0.76
69384,0.8
56225,0.96
46522,0.48
59922,0.32
48609,0.8
77235,0.92
8082,0.48
65539,0.6
39769,1.0
96098,0.24
86925,0.52
53370,0.92
60773,0.4
47138,0.8
44098,0.56
61301,0.64
38956,0.56
7585,0.64
14240,0.64
49732,0.56
48849,0.24
72202,0.64
14480,0.76
33035,0.52
43985,0.76
85217,0.6
8121,0.84
95484,0.56
57781,0.76
85281,1.0
71928,0.6
79044,0.4
54020,0.8
46617,0.72
3924,0.88
76379,0.68
62379,0.72
80390,0.76
95214,0.68
24624,0.84
89328,0.48
85616,1.0
84393,0.52
63954,0.88
20998,0.56
42995,0.72
67212,0.64
95562,0.52
1869,0.64
81929,0.64
72552,0.72
34425,0.16
83123,0.6
90228,0.56
27741,0.48
53991,0.24
15167,0.52
29006,0.32
86461,0.52
22615,0.6
90108,0.4
12561,0.72
18306,0.72
78913,0.68
38785,0.72
13919,0.92
59619,0.52
17801,0.36
11683,0.44
50393,0.96
1414,0.28
49705,0.44
11495,0.48
74515,0.52
87870,0.4
18347,0.6
3854,0.64
19733,0.28
44194,0.44
80652,0.92
22356,0.6
56887,0.44
54654,0.24
81154,0.84
60139,0.52
49481,0.84
13027,0.8
6073,0.72
21221,0.36
78849,0.64
98453,0.52
43204,0.6
49495,0.52
50040,0.56
62238,0.88
96941,0.36
51613,0.8
28840,0.8
88334,0.8
40679,0.92
91906,0.68
61997,0.96
96234,0.28
35191,0.8
99214,0.44
94474,0.68
70794,0.6
96104,0.68
63209,0.52
78212,0.6
9699,0.48
89800,0.44
52248,1.0
48960,0.6
77980,0.88
58769,0.88
74585,0.24
33294,0.32
93240,0.84
27238,0.84
2569,0.92
51644,0.72
48318,0.6
9421,0.4
77916,0.56
11814,0.52
61073,0.44
64158,0.68
2805,0.6
72093,0.8
48104,0.44
20668,0.72
68085,0.64
63923,0.32
53517,0.64
3104,1.0
99805,0.4
39359,0.88
18783,0.8
15511,0.8
77153,0.48
45019,0.88
85462,0.6
96718,0.52
34821,0.84
22810,0.44
93544,0.8
35535,0.76
65259,0.56
75047,0.2
58877,0.28
64070,0.2
41996,0.96
71713,0.56
38718,0.44
17155,0.92
24713,0.56
62892,0.2
29011,0.2
6645,0.52
41304,0.64
58739,0.92
23285,0.96
48191,0.6
97795,0.76
6696,0.8
64069,0.36
82691,0.92
18615,1.0
62684,0.72
9287,0.2
6874,0.4
22369,0.6
92953,0.28
84842,0.72
28468,0.4
30792,0.68
13171,0.88
17252,0.56
40297,0.72
98009,0.6
15527,0.28
7383,0.56
5269,0.64
31169,0.76
23713,0.84
93782,0.44
33652,0.52
50852,0.4
62065,0.08
58026,0.2
75285,0.64
14705,0.56
47071,0.8
37161,0.72
77239,0.4
24989,0.4
90966,0.28
76360,0.76
94753,0.68
84592,0.44
67471,0.6
41794,0.2
31485,0.56
91545,0.32
53221,0.64
8201,0.88
60467,0.76
68016,0.4
38784,0.52
55226,0.68
65209,0.24
75408,0.48
85243,0.2
79788,0.84
61994,0.4
79195,0.52
46240,0.36
22216,0.88
70954,0.68
84807,0.36
46536,0.8
36753,0.8
97859,0.52
23760,0.32
85723,0.52
64710,0.8
27733,0.8
81034,0.72
12401,0.88
62556,0.6
93553,0.2
95020,0.64
89411,0.4
49025,0.84
