ID_CORRELATIVO,ATTRITION
47411,0.2315
39861,0.2321
38898,0.9082
50927,0.0858
32969,0.4875
89661,0.2066
12197,0.1022
71520,0.0
59759,0.2732
36743,0.4767
10736,0.0001
5106,0.0036
44506,0.0235
47767,0.8556
74686,0.0508
63023,0.0069
13584,0.5565
317,0.054
62570,0.0188
68244,0.6896
72881,0.0292
18280,0.0886
70682,0.0033
79902,0.1772
35073,0.0446
84331,0.2176
70921,0.2248
82245,0.2637
17714,0.0178
13993,0.1297
658,0.9791
33916,0.975
92737,0.1616
22844,0.0266
93339,0.2933
29572,0.0179
24751,0.8467
37862,0.0146
26676,0.0375
8675,0.3258
64245,0.6111
57248,0.1761
3531,0.0488
9834,0.007
74246,0.1218
56683,0.4124
16847,0.0396
96617,0.8543
94167,0.0326
42800,0.9142
70106,0.0547
42486,0.0131
78076,0.0733
85819,0.7799
15786,0.4989
61483,0.0014
25630,0.4786
22501,0.5787
92447,0.0318
13795,0.0267
57101,0.1191
55077,0.0023
47600,0.0347
5924,0.9996
34900,0.0041
91990,0.6577
50268,0.993
66401,0.2497
18014,0.0001
20006,0.0244
55391,0.7163
40304,0.2412
12832,0.1483
41746,0.0038
69384,0.8859
56225,0.7182
46522,0.0001
59922,0.3734
48609,0.1571
77235,0.8556
8082,0.1276
65539,0.0002
39769,0.5066
96098,0.5804
86925,0.9902
53370,0.8365
60773,0.0781
47138,0.0648
44098,0.0136
61301,0.5431
38956,0.852
7585,0.6473
14240,0.0643
49732,0.016
48849,0.0084
72202,0.3735
14480,0.0101
33035,0.0248
43985,0.938
85217,0.0031
8121,0.9147
95484,0.6264
57781,0.0043
85281,0.3248
71928,0.0555
79044,0.0024
54020,0.9299
46617,0.0031
3924,0.9032
76379,0.0016
62379,0.864
80390,0.0032
95214,0.0002
24624,0.9221
89328,0.0768
85616,0.314
84393,0.7002
63954,0.0279
20998,0.6629
42995,0.0583
67212,0.1157
95562,0.0953
1869,0.0195
81929,0.1389
72552,0.025
34425,0.0678
83123,0.2279
90228,0.2357
27741,0.8788
53991,0.0135
15167,0.2121
29006,0.0855
86461,0.1525
22615,0.8808
90108,0.005
12561,0.5045
18306,0.9608
78913,0.3757
38785,0.0859
13919,0.3306
59619,0.6755
17801,0.0056
11683,0.0066
50393,0.3483
1414,0.0618
49705,0.0221
11495,0.4676
74515,0.0115
87870,0.5141
18347,0.0005
3854,0.1832
19733,0.0421
44194,0.0394
80652,0.6335
22356,0.3362
56887,0.0056
54654,0.0172
81154,0.01
60139,0.2706
49481,0.2498
13027,0.0463
6073,0.0733
21221,0.1596
78849,0.0018
98453,0.0048
43204,0.9822
49495,0.0928
50040,0.391
62238,0.9624
96941,0.8842
51613,0.9655
28840,0.0003
88334,0.0866
40679,0.8352
91906,0.1669
61997,0.6032
96234,0.0468
35191,0.9142
99214,0.0071
94474,0.0007
70794,0.0132
96104,0.0035
63209,0.0
78212,0.9888
9699,0.0321
89800,0.0043
52248,0.1697
48960,0.0542
77980,0.9613
58769,0.7894
74585,0.0253
33294,0.1356
93240,0.0615
27238,0.9102
2569,0.6459
51644,0.0272
48318,0.0383
9421,0.0195
77916,0.0424
11814,0.4281
61073,0.3423
64158,0.0022
2805,0.0261
72093,0.8904
48104,0.2897
20668,0.5042
68085,0.026
63923,0.919
53517,0.0081
3104,0.5041
99805,0.5155
39359,0.3291
18783,0.0028
15511,0.6131
77153,0.0
45019,0.3787
85462,0.0003
96718,0.001
34821,0.8834
22810,0.0878
93544,0.9071
35535,0.8444
65259,0.6312
75047,0.0544
58877,0.1057
64070,0.2163
41996,0.2806
71713,0.0445
38718,0.1455
17155,0.8571
24713,0.006
62892,0.0875
29011,0.1762
6645,0.0086
41304,0.0955
58739,0.232
23285,0.0012
48191,0.0244
97795,0.0522
6696,0.1149
64069,0.0944
82691,0.5269
18615,0.8408
62684,0.1169
9287,0.02
6874,0.4876
22369,0.7481
92953,0.1863
84842,0.25
28468,0.5049
30792,0.0315
13171,0.8601
17252,0.0272
40297,0.0646
98009,0.1303
15527,0.3503
7383,0.3689
5269,0.1072
31169,0.0609
23713,0.6513
93782,0.0526
33652,0.0474
50852,0.0653
62065,0.0005
58026,0.0018
75285,0.2827
14705,0.1473
47071,0.0131
37161,0.3212
77239,0.0
24989,0.0017
90966,0.1981
76360,0.4321
94753,0.0065
84592,0.0515
67471,0.0676
41794,0.9509
31485,0.2971
91545,0.3073
53221,0.0142
8201,0.0119
60467,0.0003
68016,0.0124
38784,0.0372
55226,0.1493
65209,0.0017
75408,0.0459
85243,0.005
79788,0.6699
61994,0.0148
79195,0.7073
46240,0.0573
22216,0.3953
70954,0.0024
84807,0.0172
46536,0.9497
36753,0.0003
97859,0.1661
23760,0.9665
85723,0.7108
64710,0.9581
27733,0.0035
81034,0.0063
12401,0.2477
62556,0.136
93553,0.3377
95020,0.0962
89411,0.0
49025,0.8627
175,0.0115
41587,0.7435
95452,0.0207
66833,0.5074
35540,0.0493
27054,0.6073
73979,0.6679
86206,0.1142
44847,0.9745
3840,0.9329
61419,0.3535
41064,0.9936
3234,0.7628
48912,0.5146
14659,0.8467
95329,0.6475
48199,0.1872
57661,0.4316
91561,0.042
98545,0.0023
64053,0.857
44127,0.2994
19986,0.0015
50281,0.1427
23864,0.2057
10807,0.2447
46633,0.1277
22081,0.2374
58024,0.0046
43243,0.5366
87491,0.0133
8098,0.0226
15691,0.9956
92195,0.0091
89981,0.1457
61666,0.0139
59887,0.0038
72746,0.9282
97844,0.0055
66080,0.4335
35864,0.0689
91618,0.1665
63875,0.879
12653,0.09
82407,0.2949
60272,0.0112
45986,0.0913
40088,0.092
30671,0.0294
47115,0.6558
87106,0.4095
18985,0.3269
78531,0.0089
99309,0.0455
30856,0.0005
57429,0.1373
90844,0.6998
61193,0.1394
61960,0.3998
27310,0.801
85688,0.0001
13849,0.1194
20923,0.1306
81184,0.8566
92660,0.1052
52780,0.3675
58352,0.2216
84217,0.864
18894,0.456
2060,0.003
49450,0.0003
16422,0.0908
63949,0.0108
14806,0.2405
54228,0.002
47189,0.0
52562,0.0007
87245,0.0517
37544,0.0833
30325,0.131
27069,0.0
65802,0.2461
64416,0.1528
22027,0.0305
65273,0.9982
28436,0.0
61160,0.9682
32883,0.027
64263,0.6217
3036,0.249
1394,0.0279
15909,0.0041
33028,0.3744
94431,0.1879
54780,0.286
43674,0.3107
73620,0.3974
75024,0.0087
98242,0.1293
8382,0.934
9870,0.0085
77482,0.063
93661,0.665
61203,0.0401
65157,0.3149
6978,0.034
17470,0.1024
53031,0.8928
37506,0.0729
5012,0.2347
2994,0.9566
17970,0.0093
78783,0.2422
20016,0.4346
12503,0.7536
61154,0.9931
12861,0.5186
67373,0.4681
48455,0.504
6505,0.0005
61490,0.984
54247,0.9791
5795,0.9907
28306,0.7717
85714,0.059
82657,0.0009
44030,0.0764
65255,0.001
64927,0.047
75324,0.559
6857,0.0683
11287,0.1116
35241,0.863
34242,0.1449
69085,0.9641
71311,0.0585
36269,0.5884
14738,0.7981
549,0.7132
3479,0.1895
80866,0.3313
92323,0.5693
43887,0.9532
85023,0.1014
97922,0.0751
16440,0.9941
69117,0.6651
25539,0.25
12828,0.0642
89828,0.0321
25600,0.0123
24291,0.2384
63983,0.9315
67518,0.0
82104,0.0459
29260,0.0195
40004,0.6544
65199,0.8949
76117,0.0029
93827,0.2609
29395,0.0831
86252,0.0523
40938,0.9604
24209,0.0663
24037,0.9448
80880,0.3845
33040,0.0739
52215,0.0032
38125,0.0064
13173,0.0074
65774,0.0098
16691,0.767
71372,0.1257
33821,0.0112
90285,0.2642
8425,0.9689
36687,0.3776
78613,0.253
23269,0.7789
65699,0.1004
99079,0.4092
45348,0.0018
40929,0.6177
3792,0.0426
46357,0.0051
62600,0.2193
23863,0.5399
77937,0.8726
335,0.2422
60070,0.4716
13973,0.024
45656,0.0734
18176,0.7486
5930,0.0129
86954,0.3318
64225,0.108
72124,0.0
2108,0.6705
44109,0.0431
16923,0.1001
70941,0.0058
83294,0.128
78522,0.9347
95018,0.4747
96818,0.1401
27237,0.7195
84772,0.8805
41563,0.0001
73476,0.4123
72352,0.3512
79414,0.3199
60076,0.7222
80745,0.445
86202,0.2379
16667,0.1879
61215,0.104
3297,0.0268
3700,0.246
70352,0.4158
72752,0.9985
16377,0.0071
455,0.7912
16803,0.0151
45698,0.0104
13350,0.0224
76081,0.7432
77878,0.3066
72854,0.0227
36377,0.992
64828,0.0585
5048,0.2724
20341,0.1762
93214,0.0005
70114,0.0011
22778,0.3103
24111,0.9299
91002,0.6748
41036,0.0154
84784,0.805
77981,0.0105
62877,0.146
75883,0.0938
65815,0.0966
9256,0.0622
43407,0.0013
2531,0.063
27887,0.118
12062,0.492
20044,0.0085
65756,0.1239
93096,0.0526
22795,0.1119
87212,0.205
35969,0.0107
16574,0.9822
86765,0.0091
15941,0.1655
90109,0.0014
48087,0.0452
58303,0.943
94111,0.068
58882,0.0036
68501,0.6564
15523,0.0071
32550,0.9642
66142,0.0989
34097,0.0008
65169,0.0823
97085,0.8886
56165,0.0
86685,0.8462
70155,0.175
94728,0.0777
18780,0.0019
94486,0.299
39723,0.0775
53398,0.0014
49177,0.0073
61923,0.1895
72622,0.0002
78582,0.9975
55627,0.5459
52808,0.9841
26623,0.6355
68723,0.1907
15319,0.1041
33747,0.0289
73915,0.072
92776,0.0062
49883,0.9311
98556,0.4718
88865,0.0269
97115,0.226
54132,0.0026
9554,0.5586
70701,0.5711
5627,0.5034
80129,0.8596
8134,0.0021
69401,0.1269
27103,0.7449
30747,0.0826
83422,0.0059
3842,0.0104
2394,0.089
6597,0.7099
11139,0.0385
57217,0.0183
3953,0.012
79429,0.6946
60795,0.6122
56610,0.2528
81632,0.4266
69638,0.3894
86896,0.0024
75514,0.5253
66956,0.997
70023,0.9514
14775,0.3062
63656,0.0526
86171,0.8433
53818,0.1697
75659,0.7933
60135,0.3563
3003,0.8569
62748,0.1039
48871,0.1566
68081,0.0576
10715,0.9755
18278,0.7622
11112,0.0407
10680,0.2058
39089,0.8595
92019,0.014
23820,0.0602
28533,0.1314
61946,0.1592
68786,0.0555
50374,0.0014
32563,0.057
91650,0.0005
54629,0.0007
38213,0.3074
23419,0.997
5647,0.2101
25369,0.0153
61117,0.5436
90892,0.9542
56964,0.6507
73556,0.9991
21316,0.7714
57187,0.9831
50543,0.5712
92908,0.4477
76663,0.842
50791,0.0131
42964,0.9512
36473,0.0008
41795,0.5815
3005,0.9218
92387,0.2772
90232,0.1181
87360,0.5207
72062,0.9191
29388,0.0087
90178,0.052
1090,0.085
22898,0.0075
994,0.9871
74120,0.5328
82594,0.2751
45211,0.036
83526,0.5517
77504,0.8235
77357,0.0
94837,0.7962
75345,0.2021
33825,0.0005
67688,0.0024
43567,0.0102
90096,0.0782
84103,0.7173
89217,0.2208
11035,0.1413
73782,0.9795
61029,0.9656
22253,0.0098
71770,0.0059
14851,0.0079
48543,0.0119
53375,0.1324
9239,0.0002
50910,0.2431
7752,0.0245
14390,0.712
38461,0.8603
29014,0.0039
17962,0.1604
56755,0.8042
82489,0.376
61481,0.1586
21066,0.1758
38231,0.1414
76306,0.9698
32221,0.0643
86030,0.1006
76070,0.0049
81782,0.0288
43513,0.0211
46218,0.9896
41215,0.0536
88994,0.1486
83879,0.0011
55133,0.0368
97682,0.3488
2168,0.0077
32212,0.0001
73618,0.0023
10805,0.8939
48944,0.3532
37538,0.0007
69219,0.0024
99284,0.9292
17593,0.3584
83733,0.0391
3224,0.2662
19283,0.0579
18719,0.6671
96329,0.8993
47823,0.9995
16869,0.5325
60538,0.0204
49291,0.0068
71079,0.9816
25632,0.8128
62251,0.9711
72780,0.0064
13003,0.0558
40002,0.0855
98765,0.0701
86688,0.8701
58320,0.9155
84383,0.9863
76245,0.2168
93031,0.5524
54534,0.2992
58723,0.1616
36529,0.0846
77541,0.0331
49677,0.001
76734,0.4164
99838,0.0663
1529,0.4295
30528,0.7846
11220,0.66
93804,0.283
58259,0.0008
20339,0.553
42577,0.0401
23740,0.6707
7391,0.9908
94300,0.4849
81918,0.0304
25894,0.0009
37142,0.0371
88486,0.4576
17974,0.3071
23522,0.887
60666,0.8445
2482,0.0026
88646,0.0712
82150,0.8707
86468,0.0038
75758,0.9268
35498,0.5821
86662,0.3012
48888,0.4084
86890,0.0768
80800,0.0004
21045,0.0061
2799,0.9984
10916,0.0171
77435,0.2103
27846,0.0006
9054,0.0105
19538,0.0003
19587,0.0689
92929,0.0016
91755,0.0037
35661,0.962
60771,0.6945
40120,0.0629
889,0.566
23531,0.0356
16672,0.6241
10823,0.2128
80285,0.3588
81029,0.2978
44604,0.0427
39242,0.9814
26560,0.043
46806,0.9596
96785,0.01
24706,0.3262
88480,0.0094
57315,0.2423
3446,0.0336
12090,0.1232
97040,0.6771
65462,0.6106
5241,0.9286
97418,0.1453
13258,0.0042
89719,0.3435
68834,0.1233
91152,0.0452
48913,0.0342
3626,0.6261
91685,0.9747
8691,0.9398
30925,0.0007
56825,0.0002
3830,0.3609
30378,0.024
77994,0.366
33864,0.965
2796,0.0005
46336,0.9543
6057,0.0025
14343,0.9903
97320,0.0659
36178,0.3499
53255,0.2992
80715,0.061
45459,0.0014
14349,0.4996
81802,0.0874
22939,0.0249
46890,0.1268
70172,0.7535
98942,0.0668
69473,0.1017
60799,0.4409
96623,0.9423
66047,0.1124
22722,0.8314
89798,0.0026
52528,0.0521
4092,0.0919
21782,0.2013
98723,0.9492
83686,0.3009
84689,0.0003
50369,0.7243
76171,0.009
77288,0.6757
46229,0.5989
56531,0.0649
93788,0.162
25213,0.1185
14288,0.1628
17576,0.0386
72959,0.6658
37382,0.8789
24649,0.1112
62269,0.5979
26285,0.7893
50918,0.7687
21401,0.0861
6804,0.074
29533,0.553
78638,0.0974
58557,0.969
21840,0.2007
62409,0.0153
42474,0.0019
97174,0.4028
982,0.4316
27505,0.8235
22484,0.2251
93301,0.0002
72723,0.3034
33030,0.0642
46652,0.1094
18514,0.641
91001,0.0003
65553,0.0263
22916,0.0029
7567,0.0404
63483,0.1512
8040,0.1372
83390,0.0309
69635,0.5119
11931,0.2817
17020,0.9103
82996,0.3911
66758,0.0185
25451,0.0012
57816,0.0321
10408,0.2375
17997,0.8922
20809,0.8232
18073,0.7473
69408,0.0229
14232,0.0157
97769,0.1423
44630,0.0083
30025,0.7867
67366,0.0263
47764,0.6376
75613,0.226
44568,0.5138
5465,0.998
15822,0.009
16082,0.9465
63662,0.4671
691,0.2357
26425,0.024
4526,0.9635
70441,0.0614
71110,0.0462
40833,0.9612
3148,0.0608
12251,0.9253
85596,0.0079
24117,0.1742
54587,0.1271
54958,0.8545
65105,0.9249
88867,0.5888
87042,0.6169
42750,0.4776
47715,0.0085
3195,0.24
51160,0.0101
76544,0.13
25862,0.1181
29504,0.3808
5761,0.8784
72804,0.6409
76085,0.9106
87422,0.0455
48691,0.5176
95338,0.022
94674,0.4744
52769,0.0118
15292,0.005
62957,0.9162
44601,0.0897
16786,0.8137
26420,0.4698
95549,0.2587
8305,0.7692
31436,0.0081
83200,0.0087
35741,0.0963
26488,0.7089
31316,0.0609
42658,0.0384
33872,0.0049
75688,0.1019
59874,0.8949
66182,0.0105
4113,0.002
41713,0.1378
49768,0.0852
51713,0.0579
85097,0.0127
76691,0.0022
42735,0.4875
95616,0.1117
98805,0.6919
8170,0.1817
89204,0.0112
3120,0.4486
33883,0.0002
71963,0.2161
89404,0.997
9847,0.5625
18028,0.2813
49132,0.0046
21982,0.1521
97709,0.7537
84978,0.0518
31850,0.2464
56548,0.5328
80539,0.9343
99241,0.9224
38535,0.2397
42777,0.6954
67603,0.8434
36307,0.0025
47726,0.0001
7724,0.0728
10449,0.9513
13756,0.0304
53513,0.793
135,0.0057
44481,0.4932
8269,0.3061
86918,0.9804
22036,0.0002
52743,0.9602
86531,0.0212
45538,0.0209
7858,0.1593
17820,0.8204
24329,0.5927
93490,0.0024
3773,0.9986
61688,0.939
91213,0.0307
19081,0.0018
6338,0.1144
82146,0.0039
54100,0.4255
40581,0.0186
63423,0.8891
35492,0.6877
12776,0.0263
95220,0.1995
89419,0.1895
49734,0.0016
73523,0.2137
45828,0.275
14034,0.3572
8818,0.5918
62695,0.206
25154,0.6673
74813,0.0087
15307,0.278
21139,0.0117
21770,0.7154
88233,0.9419
87436,0.5252
25612,0.578
13087,0.08
50474,0.0091
78253,0.0315
25020,0.0234
25313,0.905
42772,0.1096
93344,0.6986
84936,0.0464
16320,0.8811
32645,0.9798
93468,0.1121
51213,0.4145
46264,0.1073
34316,0.6942
45395,0.0222
46640,0.0609
93362,0.9839
13575,0.3366
27677,0.0003
50100,0.0608
65619,0.0019
81487,0.0768
57865,0.0843
65419,0.0587
67825,0.0182
71586,0.5035
22863,0.1257
89766,0.9165
70574,0.0663
71811,0.0297
5842,0.0061
33790,0.2444
84614,0.4143
62058,0.0177
61242,0.3245
96362,0.0689
34256,0.6735
24093,0.2563
6349,0.0712
80963,0.2366
1277,0.8548
27274,0.0057
30052,0.1354
74559,0.0277
21971,0.9117
7210,0.0008
24909,0.0053
64160,0.034
23554,0.8645
92260,0.3668
32863,0.0172
74981,0.0474
61692,0.1835
52949,0.0248
47140,0.0033
76773,0.482
32269,0.039
24522,0.1228
43415,0.0033
72231,0.9843
50150,0.2703
65206,0.3474
41333,0.0007
47792,0.1763
53900,0.0605
2597,0.4935
8733,0.3365
37192,0.5498
6257,0.1115
50988,0.0157
67325,0.0051
69,0.0526
14557,0.0613
61585,0.0322
23427,0.0229
75131,0.6913
97212,0.259
21120,0.0095
93224,0.8485
50586,0.2842
89577,0.0779
21043,0.0061
4301,0.0599
64783,0.5093
7097,0.0227
17382,0.1297
83102,0.146
61624,0.6542
44450,0.7086
1916,0.2325
45993,0.0023
70492,0.0028
89779,0.1007
51504,0.0049
39846,0.0056
