ID_CORRELATIVO,ATTRITION
47411,0.7719
39861,0.2063
38898,0.0588
50927,0.2004
32969,0.4096
89661,0.1355
12197,0.0455
71520,0.007
59759,0.3153
36743,0.0553
10736,0.0061
5106,0.0365
44506,0.0292
47767,0.8366
74686,0.0097
63023,0.0155
13584,0.4032
317,0.0211
62570,0.0718
68244,0.0281
72881,0.0377
18280,0.0331
70682,0.0133
79902,0.1772
35073,0.1228
84331,0.271
70921,0.0498
82245,0.593
17714,0.0335
13993,0.0685
658,0.2035
33916,0.438
92737,0.1149
22844,0.0231
93339,0.3102
29572,0.0003
24751,0.8761
37862,0.0602
26676,0.1008
8675,0.0655
64245,0.4306
57248,0.6905
3531,0.0029
9834,0.012
74246,0.0874
56683,0.2756
16847,0.1186
96617,0.0629
94167,0.1346
42800,0.2451
70106,0.078
42486,0.1961
78076,0.0764
85819,0.8206
15786,0.2437
61483,0.0103
25630,0.0088
22501,0.0101
92447,0.1488
13795,0.0067
57101,0.0235
55077,0.0063
47600,0.1839
5924,0.9469
34900,0.0931
91990,0.3177
50268,0.9121
66401,0.1859
18014,0.0008
20006,0.1093
55391,0.7605
40304,0.6031
12832,0.6549
41746,0.0078
69384,0.4884
56225,0.697
46522,0.0242
59922,0.0449
48609,0.0038
77235,0.8624
8082,0.0853
65539,0.0009
39769,0.6496
96098,0.0677
86925,0.8767
53370,0.4319
60773,0.0308
47138,0.136
44098,0.006
61301,0.0545
38956,0.2491
7585,0.2417
14240,0.1538
49732,0.0212
48849,0.0158
72202,0.0534
14480,0.1973
33035,0.0183
43985,0.1753
85217,0.0117
8121,0.5432
95484,0.0911
57781,0.0083
85281,0.2174
71928,0.076
79044,0.0063
54020,0.8053
46617,0.0091
3924,0.8771
76379,0.1036
62379,0.2168
80390,0.1458
95214,0.0003
24624,0.8791
89328,0.0307
85616,0.2706
84393,0.1362
63954,0.1116
20998,0.2892
42995,0.0286
67212,0.1243
95562,0.0894
1869,0.0896
81929,0.124
72552,0.0414
34425,0.0174
83123,0.3572
90228,0.1054
27741,0.1636
53991,0.0092
15167,0.0516
29006,0.0195
86461,0.2544
22615,0.4329
90108,0.0064
12561,0.2503
18306,0.7493
78913,0.5512
38785,0.0331
13919,0.3067
59619,0.085
17801,0.0638
11683,0.0093
50393,0.6933
1414,0.2406
49705,0.014
11495,0.1689
74515,0.1332
87870,0.2254
18347,0.0036
3854,0.3095
19733,0.1151
44194,0.0271
80652,0.5745
22356,0.084
56887,0.0396
54654,0.0138
81154,0.0097
60139,0.5134
49481,0.1933
13027,0.0273
6073,0.0067
21221,0.0127
78849,0.0108
98453,0.0267
43204,0.3713
49495,0.0655
50040,0.1613
62238,0.7908
96941,0.3547
51613,0.1985
28840,0.0056
88334,0.4564
40679,0.864
91906,0.1037
61997,0.8544
96234,0.0133
35191,0.1862
99214,0.0109
94474,0.0062
70794,0.0456
96104,0.0047
63209,0.1056
78212,0.3663
9699,0.0751
89800,0.0193
52248,0.2572
48960,0.0102
77980,0.8735
58769,0.6545
74585,0.0056
33294,0.0206
93240,0.3562
27238,0.5551
2569,0.8249
51644,0.1638
48318,0.0142
9421,0.0571
77916,0.0487
11814,0.0942
61073,0.2111
64158,0.0006
2805,0.0108
72093,0.7143
48104,0.2366
20668,0.4878
68085,0.0375
63923,0.2432
53517,0.0257
3104,0.4954
99805,0.2896
39359,0.7001
18783,0.0006
15511,0.8007
77153,0.0453
45019,0.569
85462,0.0161
96718,0.0015
34821,0.8712
22810,0.0532
93544,0.1544
35535,0.1619
65259,0.3019
75047,0.0183
58877,0.1319
64070,0.1046
41996,0.0509
71713,0.0487
38718,0.0246
17155,0.7561
24713,0.021
62892,0.0769
29011,0.0754
6645,0.0036
41304,0.4491
58739,0.1311
23285,0.0267
48191,0.053
97795,0.0329
6696,0.0112
64069,0.0378
82691,0.6896
18615,0.2403
62684,0.4036
9287,0.0391
6874,0.1036
22369,0.3306
92953,0.0435
84842,0.1021
28468,0.1686
30792,0.2166
13171,0.5119
17252,0.1607
40297,0.0396
98009,0.0812
15527,0.0136
7383,0.3039
5269,0.1132
31169,0.0327
23713,0.7108
93782,0.0428
33652,0.1554
50852,0.0178
62065,0.0007
58026,0.0158
75285,0.0652
14705,0.1778
47071,0.0037
37161,0.1316
77239,0.0023
24989,0.0075
90966,0.0065
76360,0.4415
94753,0.0227
84592,0.1481
67471,0.0439
41794,0.7469
31485,0.1836
91545,0.1579
53221,0.0017
8201,0.1043
60467,0.0255
68016,0.003
38784,0.0244
55226,0.0258
65209,0.0009
75408,0.0212
85243,0.0336
79788,0.597
61994,0.0114
79195,0.1307
46240,0.0219
22216,0.7207
70954,0.0001
84807,0.009
46536,0.7102
36753,0.0002
97859,0.0794
23760,0.2217
85723,0.2838
64710,0.5614
27733,0.0033
81034,0.0172
12401,0.3731
62556,0.2234
93553,0.0722
95020,0.0614
89411,0.0088
49025,0.7121
175,0.0104
41587,0.0382
95452,0.036
66833,0.1313
35540,0.0646
27054,0.0777
73979,0.3142
86206,0.0345
44847,0.3992
3840,0.8334
61419,0.2108
41064,0.8768
3234,0.8295
48912,0.2591
14659,0.2412
95329,0.2536
48199,0.3067
57661,0.0974
91561,0.1753
98545,0.0066
64053,0.7972
44127,0.5233
19986,0.1222
50281,0.4323
23864,0.0351
10807,0.0108
46633,0.0291
22081,0.0395
58024,0.0069
43243,0.19
87491,0.0102
8098,0.0433
15691,0.8116
92195,0.1163
89981,0.1476
61666,0.1076
59887,0.0383
72746,0.5372
97844,0.0012
66080,0.0733
35864,0.0643
91618,0.1552
63875,0.0683
12653,0.1334
82407,0.1667
60272,0.0007
45986,0.2864
40088,0.036
30671,0.02
47115,0.2214
87106,0.3464
18985,0.2881
78531,0.0039
99309,0.0271
30856,0.0096
57429,0.1192
90844,0.2655
61193,0.0654
61960,0.6328
27310,0.7434
85688,0.0009
13849,0.0371
20923,0.006
81184,0.2811
92660,0.0535
52780,0.2498
58352,0.0288
84217,0.1868
18894,0.5887
2060,0.0164
49450,0.0115
16422,0.1328
63949,0.0498
14806,0.1765
54228,0.0451
47189,0.0013
52562,0.0112
87245,0.1353
37544,0.037
30325,0.3323
27069,0.0005
65802,0.0353
64416,0.0959
22027,0.0053
65273,0.8919
28436,0.0009
61160,0.8459
32883,0.0104
64263,0.0151
3036,0.1453
1394,0.017
15909,0.0278
33028,0.2818
94431,0.1088
54780,0.3217
43674,0.066
73620,0.2029
75024,0.1738
98242,0.0512
8382,0.823
9870,0.107
77482,0.0905
93661,0.2422
61203,0.0598
65157,0.1105
6978,0.0754
17470,0.006
53031,0.5313
37506,0.0244
5012,0.0894
2994,0.8082
17970,0.0224
78783,0.0522
20016,0.2533
12503,0.46
61154,0.9069
12861,0.0484
67373,0.2551
48455,0.0163
6505,0.0013
61490,0.7319
54247,0.6869
5795,0.3703
28306,0.4298
85714,0.3677
82657,0.0033
44030,0.0444
65255,0.0085
64927,0.0113
75324,0.771
6857,0.0059
11287,0.2561
35241,0.2089
34242,0.4031
69085,0.7583
71311,0.0196
36269,0.2375
14738,0.7239
549,0.4771
3479,0.0409
80866,0.49
92323,0.6509
43887,0.6027
85023,0.163
97922,0.0577
16440,0.4562
69117,0.6896
25539,0.5856
12828,0.2786
89828,0.0027
25600,0.033
24291,0.1305
63983,0.7654
67518,0.0001
82104,0.0204
29260,0.0362
40004,0.0669
65199,0.0376
76117,0.0004
93827,0.1794
29395,0.0495
86252,0.1
40938,0.325
24209,0.0197
24037,0.0753
80880,0.108
33040,0.0211
52215,0.0074
38125,0.0604
13173,0.0497
65774,0.1871
16691,0.0251
71372,0.1044
33821,0.0168
90285,0.0841
8425,0.8195
36687,0.0498
78613,0.0796
23269,0.0965
65699,0.0597
99079,0.0379
45348,0.0025
40929,0.259
3792,0.0309
46357,0.013
