ID_CORRELATIVO,ATTRITION
47411,0.20339
39861,0.33232
38898,0.11416
50927,0.21901
32969,0.23337
89661,0.14241
12197,0.16946
71520,0.14816
59759,0.26863
36743,0.13389
10736,0.12053
5106,0.13847
44506,0.12426
47767,0.31257
74686,0.09036
63023,0.1954
13584,0.46852
317,0.09507
62570,0.12919
68244,0.06084
72881,0.10606
18280,0.18091
70682,0.09254
79902,0.18764
35073,0.12609
84331,0.06889
70921,0.25212
82245,0.18718
17714,0.09497
13993,0.16722
658,0.3815
33916,0.06882
92737,0.34859
22844,0.1191
93339,0.18395
29572,0.08466
24751,0.81987
37862,0.11312
26676,0.04253
8675,0.1299
64245,0.24924
57248,0.68582
3531,0.08761
9834,0.05367
74246,0.11101
56683,0.24521
16847,0.18206
96617,0.13849
94167,0.17899
42800,0.62147
70106,0.01161
42486,0.16859
78076,0.13357
85819,0.29015
15786,0.13444
61483,0.05892
25630,0.11565
22501,0.11699
92447,0.19212
13795,0.0749
57101,0.04566
55077,0.16578
47600,0.19497
5924,0.96267
34900,0.03688
91990,0.29535
50268,0.27175
66401,0.154
18014,0.05651
20006,0.12588
55391,0.19065
40304,0.64724
12832,0.20024
41746,0.057
69384,0.18757
56225,0.79779
46522,0.12894
59922,0.13064
48609,0.17157
77235,0.28229
8082,0.12435
65539,0.05015
39769,0.26379
96098,0.12884
86925,0.99186
53370,0.18537
60773,0.13018
47138,0.12077
44098,0.11522
61301,0.20291
38956,0.14062
7585,0.18439
14240,0.15542
49732,0.01841
48849,0.1001
72202,0.13999
14480,0.14971
33035,0.06008
43985,0.27998
85217,0.07222
8121,0.15648
95484,0.13932
57781,0.29275
85281,0.16378
71928,0.13552
79044,0.16164
54020,0.60344
46617,0.0733
3924,0.79976
76379,0.17097
62379,0.16741
80390,0.03744
95214,0.12714
24624,0.85507
89328,0.0834
85616,0.18465
84393,0.1384
63954,0.55785
20998,0.15077
42995,0.14872
67212,0.24563
95562,0.11755
1869,0.02034
81929,0.13053
72552,0.0673
34425,0.09811
83123,0.18067
90228,0.17204
27741,0.14042
53991,0.09852
15167,0.14034
29006,0.04504
86461,0.16585
22615,0.71401
90108,0.21033
12561,0.0417
18306,0.2421
78913,0.15159
38785,0.01554
13919,0.25397
59619,0.31423
17801,0.0956
11683,0.12079
50393,0.209
1414,0.18729
49705,0.12204
11495,0.13077
74515,0.13574
87870,0.13813
18347,0.02813
3854,0.12404
19733,0.14012
44194,0.13146
80652,0.28774
22356,0.06878
56887,0.05473
54654,0.08844
81154,0.16294
60139,0.1547
49481,0.14796
13027,0.11045
6073,0.08465
21221,0.11047
78849,0.01759
98453,0.12333
43204,0.14915
49495,0.13717
50040,0.12424
62238,0.33068
96941,0.1518
51613,0.14017
28840,0.09752
88334,0.35153
40679,0.86726
91906,0.22585
61997,0.28438
96234,0.12307
35191,0.17627
99214,0.08017
94474,0.07654
70794,0.14808
96104,0.08351
63209,0.12439
78212,0.15476
9699,0.11972
89800,0.10854
52248,0.22257
48960,0.11002
77980,0.87177
58769,0.17038
74585,0.13792
33294,0.13992
93240,0.14738
27238,0.65347
2569,0.43558
51644,0.27835
48318,0.11263
9421,0.15254
77916,0.13537
11814,0.15664
61073,0.12524
64158,0.05675
2805,0.07058
72093,0.28341
48104,0.11883
20668,0.15752
68085,0.34463
63923,0.14665
53517,0.15869
3104,0.60465
99805,0.17381
39359,0.15295
18783,0.15213
15511,0.24177
77153,0.0505
45019,0.34411
85462,0.14987
96718,0.07736
34821,0.6533
22810,0.13053
93544,0.20429
35535,0.13803
65259,0.33528
75047,0.12227
58877,0.13047
64070,0.13808
41996,0.16673
71713,0.15327
38718,0.19469
17155,0.72927
24713,0.13749
62892,0.09849
29011,0.1281
6645,0.04322
41304,0.17315
58739,0.14113
23285,0.13183
48191,0.08806
97795,0.30465
6696,0.03517
64069,0.12573
82691,0.8004
18615,0.20723
62684,0.20061
9287,0.15212
6874,0.13602
22369,0.18164
92953,0.13399
84842,0.13933
28468,0.12932
30792,0.17561
13171,0.1516
17252,0.17651
40297,0.13747
98009,0.07088
15527,0.13683
7383,0.14111
5269,0.65728
31169,0.1234
23713,0.75829
93782,0.63305
33652,0.16654
50852,0.11262
62065,0.08118
58026,0.07752
75285,0.13581
14705,0.12801
47071,0.16086
37161,0.1401
77239,0.05641
24989,0.17347
90966,0.12823
76360,0.18919
94753,0.08203
84592,0.1264
67471,0.20227
41794,0.20327
31485,0.14385
91545,0.19482
53221,0.11605
8201,0.19487
60467,0.13234
68016,0.14512
38784,0.18379
55226,0.13557
65209,0.13134
75408,0.06127
85243,0.08595
79788,0.16492
61994,0.12462
79195,0.22512
46240,0.14589
22216,0.45953
70954,0.2066
84807,0.2122
46536,0.22486
36753,0.09574
97859,0.13447
23760,0.16742
85723,0.15042
64710,0.15348
27733,0.14353
81034,0.18913
12401,0.35415
62556,0.16996
93553,0.13707
95020,0.14324
89411,0.04401
49025,0.90546
175,0.08899
41587,0.14239
95452,0.04817
66833,0.1358
35540,0.08415
27054,0.09063
73979,0.18716
86206,0.11258
44847,0.17892
3840,0.86713
61419,0.04368
41064,0.27316
3234,0.71638
48912,0.12034
14659,0.14321
95329,0.18192
48199,0.4765
57661,0.13502
91561,0.14137
98545,0.12597
64053,0.26421
44127,0.67721
19986,0.44337
50281,0.22738
23864,0.13203
10807,0.13597
46633,0.12255
22081,0.02441
58024,0.07042
43243,0.16359
87491,0.06017
8098,0.03312
15691,0.96526
92195,0.1835
89981,0.2559
61666,0.06655
59887,0.12866
72746,0.24694
97844,0.01428
66080,0.10064
35864,0.13943
91618,0.07546
63875,0.14612
12653,0.08663
82407,0.17474
60272,0.1752
45986,0.19693
40088,0.12537
30671,0.06616
47115,0.14103
87106,0.54019
18985,0.13726
78531,0.09384
99309,0.13426
30856,0.0534
57429,0.15713
90844,0.15754
61193,0.13872
61960,0.26625
27310,0.48842
85688,0.06094
13849,0.11436
20923,0.14543
81184,0.16842
92660,0.13101
52780,0.17145
58352,0.18402
84217,0.13421
18894,0.30848
2060,0.1537
49450,0.13578
16422,0.13489
63949,0.13041
14806,0.32872
54228,0.12727
47189,0.03354
52562,0.05055
87245,0.11613
37544,0.14626
30325,0.26362
27069,0.02131
65802,0.10865
