ID_CORRELATIVO,ATTRITION
47411,0.14055
39861,0.15129
38898,0.13937
50927,0.13988
32969,0.14436
89661,0.14349
12197,0.1366
71520,0.13988
59759,0.09096
36743,0.12316
10736,0.13988
5106,0.13988
44506,0.13994
47767,0.19372
74686,0.13988
63023,0.11722
13584,0.14001
317,0.1165
62570,0.10537
68244,0.13956
72881,0.14633
18280,0.11915
70682,0.13988
79902,0.13988
35073,0.14119
84331,0.13988
70921,0.13988
82245,0.13887
17714,0.13989
13993,0.13988
658,0.13976
33916,0.13995
92737,0.13988
22844,0.13989
93339,0.16695
29572,0.13988
24751,0.15217
37862,0.13988
26676,0.13988
8675,0.13716
64245,0.14677
57248,0.17557
3531,0.13988
9834,0.13888
74246,0.13577
56683,0.12493
16847,0.15601
96617,0.14011
94167,0.13186
42800,0.16291
70106,0.13994
42486,0.13582
78076,0.0948
85819,0.19831
15786,0.16417
61483,0.13988
25630,0.13988
22501,0.13951
92447,0.14181
13795,0.13988
57101,0.13988
55077,0.06988
47600,0.10372
5924,0.20462
34900,0.14823
91990,0.13988
50268,0.13988
66401,0.13838
18014,0.13988
20006,0.11528
55391,0.17006
40304,0.15527
12832,0.14072
41746,0.13988
69384,0.13735
56225,0.09747
46522,0.13987
59922,0.1189
48609,0.13987
77235,0.18939
8082,0.13988
65539,0.13891
39769,0.20568
96098,0.15433
86925,0.14079
53370,0.11878
60773,0.13988
47138,0.16205
44098,0.13958
61301,0.13988
38956,0.10629
7585,0.15855
14240,0.12025
49732,0.13896
48849,0.13988
72202,0.14981
14480,0.07624
33035,0.13988
43985,0.13988
85217,0.13988
8121,0.12516
95484,0.11821
57781,0.13122
85281,0.16447
71928,0.12355
79044,0.12264
54020,0.19138
46617,0.11892
3924,0.19524
76379,0.13988
62379,0.13982
80390,0.13988
95214,0.14125
24624,0.21498
89328,0.13988
85616,0.14752
84393,0.13911
63954,0.13988
20998,0.13831
42995,0.13987
67212,0.13988
95562,0.12043
1869,0.1232
81929,0.11004
72552,0.09195
34425,0.13988
83123,0.15126
90228,0.154
27741,0.32025
53991,0.13987
15167,0.14282
29006,0.13988
86461,0.10247
22615,0.17182
90108,0.13989
12561,0.13993
18306,0.14488
78913,0.10068
38785,0.13892
13919,0.15722
59619,0.13988
17801,0.13988
11683,0.13315
50393,0.15653
1414,0.13097
49705,0.13964
11495,0.14167
74515,0.13985
87870,0.13986
18347,0.13986
3854,0.10854
19733,0.10835
44194,0.13968
80652,0.13988
22356,0.13988
56887,0.13988
54654,0.13988
81154,0.14013
60139,0.1398
49481,0.13451
13027,0.11683
6073,0.13986
21221,0.13977
78849,0.14002
98453,0.13988
43204,0.22568
49495,0.21699
50040,0.13941
62238,0.11081
96941,0.13987
51613,0.14249
28840,0.13945
88334,0.13865
40679,0.2349
91906,0.14053
61997,0.13466
96234,0.135
35191,0.14279
99214,0.13988
94474,0.14052
70794,0.13986
96104,0.13481
63209,0.13988
78212,0.27305
9699,0.12066
89800,0.13988
52248,0.15308
48960,0.13988
77980,0.23576
58769,0.16571
74585,0.13998
33294,0.13988
93240,0.14395
27238,0.20587
2569,0.18315
51644,0.14198
48318,0.13646
9421,0.13948
77916,0.12096
11814,0.15261
61073,0.12066
64158,0.13983
2805,0.13953
72093,0.2114
48104,0.13988
20668,0.14503
68085,0.13988
63923,0.13988
53517,0.15009
3104,0.13489
99805,0.13531
39359,0.14588
18783,0.11342
15511,0.24173
77153,0.13988
45019,0.1906
85462,0.13988
96718,0.13988
34821,0.15161
22810,0.09651
93544,0.13967
35535,0.14804
65259,0.16497
75047,0.13988
58877,0.10467
64070,0.25687
41996,0.13718
71713,0.1405
38718,0.13994
17155,0.18489
24713,0.13988
62892,0.13988
29011,0.15711
6645,0.13988
41304,0.14042
58739,0.13842
23285,0.46781
48191,0.13928
97795,0.13208
6696,0.13973
64069,0.1218
82691,0.14147
18615,0.15743
62684,0.13633
9287,0.1418
6874,0.13887
22369,0.13517
92953,0.13935
84842,0.13987
28468,0.26427
30792,0.12326
13171,0.14054
17252,0.15656
40297,0.13988
98009,0.13999
15527,0.1397
7383,0.15925
5269,0.13988
31169,0.1014
23713,0.15823
93782,0.13988
33652,0.12183
50852,0.13986
62065,0.13988
58026,0.13988
75285,0.21155
14705,0.1503
47071,0.10777
37161,0.11227
77239,0.13988
24989,0.13988
90966,0.13988
76360,0.14897
94753,0.13979
84592,0.13988
67471,0.14059
41794,0.64903
31485,0.17468
91545,0.13995
53221,0.13988
8201,0.13988
60467,0.14019
68016,0.13987
38784,0.13988
55226,0.13971
65209,0.13988
75408,0.13988
85243,0.13988
79788,0.12292
61994,0.13988
79195,0.13988
46240,0.13988
22216,0.14069
70954,0.13988
84807,0.13988
46536,0.13576
36753,0.12606
97859,0.13831
23760,0.15005
85723,0.14684
64710,0.20657
27733,0.12049
81034,0.07401
12401,0.13217
62556,0.15414
93553,0.17712
95020,0.13764
89411,0.13988
49025,0.19066
175,0.13988
41587,0.12981
95452,0.12968
66833,0.1422
35540,0.13641
27054,0.13983
73979,0.15419
86206,0.13988
44847,0.14309
3840,0.15402
61419,0.1398
41064,0.19342
3234,0.14332
48912,0.15168
14659,0.12654
95329,0.19024
48199,0.13988
57661,0.11248
91561,0.13988
98545,0.13962
64053,0.14497
44127,0.17409
19986,0.14207
50281,0.1399
23864,0.13132
10807,0.13913
46633,0.12109
22081,0.09684
58024,0.13988
43243,0.13941
87491,0.13988
8098,0.08513
15691,0.1399
92195,0.10607
89981,0.13988
61666,0.13988
59887,0.08001
72746,0.13908
97844,0.13988
66080,0.13988
35864,0.13879
91618,0.13804
63875,0.13977
12653,0.13977
82407,0.18034
60272,0.13988
45986,0.14958
40088,0.13826
30671,0.13988
47115,0.17554
87106,0.13986
18985,0.13626
78531,0.13988
99309,0.13962
30856,0.13044
57429,0.13294
90844,0.13749
61193,0.1437
61960,0.13746
27310,0.17425
85688,0.13988
13849,0.13933
20923,0.13948
81184,0.62524
92660,0.13949
52780,0.13649
58352,0.13988
84217,0.11002
18894,0.24623
2060,0.13616
49450,0.13988
16422,0.16492
63949,0.13921
14806,0.14579
54228,0.13988
47189,0.13988
52562,0.13988
87245,0.13982
37544,0.11937
30325,0.13994
27069,0.13988
65802,0.13988
64416,0.14406
22027,0.13988
65273,0.14211
28436,0.13988
61160,0.18331
32883,0.09314
64263,0.13988
3036,0.13988
1394,0.13393
15909,0.10513
33028,0.20811
94431,0.13988
54780,0.15933
43674,0.15013
73620,0.17973
