COD_ENCUESTADO,Nombre Campus,NIVEL ACTUAL,Clave de carrera,Ciclo,IND_GEA,IND_DELEGADO,CANT_CURSOS_MATRICU_SIN_INGLES,UOD_depostista_ind_deportista,NPS,MEDIA_GMEAN,MEDIA_MEDIA,MODA_MEDIA,HMEAN_GMEAN,MODA_MIN,MAX_MIN,MEDIA_MIN,MODA_PESO_GMEAN,MIN_MAX,MODA_VARIATION,MEDIANA_MIN,MIN_KURTOSIS,HMEAN_MIN,GMEAN_MIN
13501,1,1,3,2,0,1,6,0,2,3.2998334453900005,3.30735107731,3.33333333333,3.1475567840400003,3,3,3.0,2.2525671304799997,3,0.141421356237,3.0,-1.5,3.0,3.0
23622,3,1,25,1,0,1,5,0,2,2.8707396692100002,2.88989505537,3.16666666667,2.50048190739,3,4,2.468216598,1.528322439,1,0.117687788289,3.0,-3.0,2.11933471933,2.30930275815
8354,4,1,31,1,0,0,5,0,3,3.2728800782200005,3.2932475398500003,3.73333333333,2.9713923099299997,3,4,2.7278911564599997,2.18435832753,4,0.11845088537000001,3.0,10.0714285714,2.34713187463,2.5551509151
17745,4,1,28,6,1,0,6,0,2,3.31679811384,3.32606097573,3.66666666667,2.9900104625700004,3,4,2.9090909090900006,2.08528849189,1,0.128564869307,3.0,-3.0,2.6138613861400004,2.7784868882300002
10867,3,1,34,1,0,0,6,0,2,2.36273291925,2.36273291925,3.0,2.0104058272599996,3,4,2.36273291925,1.4161490683200002,1,0.0,3.0,-3.0,2.0104058272599996,2.20112819036
24478,3,1,40,9,0,0,4,0,2,2.79623656168,2.80209034663,3.0,2.51411943555,3,3,2.46341463415,1.64960688243,2,0.0,3.0,6.59523809524,2.11933471933,2.30930275815
12765,1,1,5,1,0,1,5,0,2,3.63389192769,3.6339874502900003,4.0,3.3314728105099998,4,4,3.60763888889,3.00985854113,1,0.0,4.0,-3.0,3.28205128205,3.48583377796
6020,3,1,5,2,0,0,7,0,3,3.5713723228300007,3.57217168055,4.0,3.2747241053600002,4,4,3.5137037037,2.77560775038,1,0.0,4.0,-3.0,3.17893106119,3.39067055134
8182,1,1,25,4,0,0,5,0,3,3.49502505394,3.5028843822800004,4.0,3.17878953204,4,4,3.06002928258,2.58929738695,1,0.0,3.0,-3.0,2.62692307692,2.87189584664
26698,1,2,109,7,0,1,4,0,1,2.6992182202900006,2.7185705736,3.03333333333,2.32849349891,1,3,2.0,1.44027104581,1,0.180233180954,2.0,-3.0,1.63636363636,1.8171205928299998
17882,2,1,25,1,0,0,2,0,3,3.16962003239,3.196450724,3.5,2.85180364263,3,4,2.64739884393,2.0077790062200003,1,0.14285714285700002,3.0,-3.0,2.3352080989900004,2.51211526071
22691,3,1,26,2,0,0,5,0,1,2.8321955722600003,2.8620606661299997,3.0,2.5605753385799996,2,2,2.0,1.60071496053,2,0.222222222222,2.0,-0.214285714286,2.0,2.0
25246,1,1,31,3,0,0,5,0,1,2.54041340016,2.55166936143,2.85714285714,2.20221507752,2,3,2.17777777778,1.46094639852,1,0.122474487139,2.0,-3.0,1.82142857143,2.04231993939
28191,4,2,105,3,0,0,4,0,2,2.95431235431,2.95431235431,3.0,2.73509722665,3,4,2.95431235431,2.00559440559,1,0.0,3.0,-3.0,2.73509722665,2.86183394884
12700,4,1,13,1,0,1,8,0,2,2.6283938024,2.64601964387,3.0,2.3210165634799997,3,4,2.36273291925,1.6586322628,1,0.0,3.0,-3.0,2.0104058272599996,2.20112819036
23187,3,1,12,3,0,0,5,0,2,2.76497916864,2.77324332963,3.0,2.47640017623,3,4,2.60317460317,1.89273686564,1,0.0,3.0,-3.0,2.30791366906,2.4781462123400004
33316,2,2,105,7,0,0,3,0,0,2.5759327600999997,2.67772700621,2.96666666667,2.23108271674,1,1,1.0,1.4136733127599999,1,0.281796319191,1.0,-3.0,1.0,1.0
17602,4,1,21,2,0,1,5,0,2,2.8050240407800002,2.81988478792,3.16666666667,2.45854075384,3,4,2.45140032949,1.65021752192,1,0.117687788289,3.0,-3.0,2.15950192707,2.3181620573900004
